|dates|Casey_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Casey_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Casey_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Casey_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Casey_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Casey_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Casey_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Casey_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-02|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-03|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-04|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-05|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-06|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-07|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-08|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-09|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-10|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-11|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-12|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-13|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-14|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-15|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-16|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-17|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-18|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-19|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-20|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-21|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
0|2020-01-22|6452.0|0|310.0|0|4.58444247264123|0|6762.0|0
