|dates|Park_Wyoming_UnitedStates.BLS_EmployedPopulation.data|Park_Wyoming_UnitedStates.BLS_EmployedPopulation.missing|Park_Wyoming_UnitedStates.BLS_UnemployedPopulation.data|Park_Wyoming_UnitedStates.BLS_UnemployedPopulation.missing|Park_Wyoming_UnitedStates.BLS_UnemploymentRate.data|Park_Wyoming_UnitedStates.BLS_UnemploymentRate.missing|Park_Wyoming_UnitedStates.BLS_LaborForcePopulation.data|Park_Wyoming_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-02|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-03|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-04|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-05|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-06|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-07|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-08|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-09|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-10|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-11|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-12|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-13|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-14|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-15|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-16|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-17|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-18|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-19|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-20|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-21|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-22|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-23|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-24|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-25|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-26|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-27|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-28|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-29|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-30|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-01-31|13911.0|0|828.0|0|5.61774882963566|0|14739.0|0
0|2020-02-01|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-02|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-03|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-04|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-05|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-06|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-07|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-08|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-09|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-10|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-11|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-12|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-13|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-14|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-15|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-16|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-17|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-18|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-19|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-20|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-21|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-22|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-23|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-24|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-25|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-26|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
0|2020-02-27|13959.0|0|786.5|0|5.333830660201417|0|14745.5|0
