|dates|Smith_Texas_UnitedStates.BLS_EmployedPopulation.data|Smith_Texas_UnitedStates.BLS_EmployedPopulation.missing|Smith_Texas_UnitedStates.BLS_UnemployedPopulation.data|Smith_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Smith_Texas_UnitedStates.BLS_UnemploymentRate.data|Smith_Texas_UnitedStates.BLS_UnemploymentRate.missing|Smith_Texas_UnitedStates.BLS_LaborForcePopulation.data|Smith_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-02|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-03|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-04|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-05|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-06|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-07|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-08|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-09|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-10|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-11|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-12|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-13|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-14|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-15|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-16|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-17|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-18|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-19|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-20|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-21|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-22|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-23|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-24|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-25|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
0|2020-01-26|103889.5|0|3853.5|0|3.5765664590739075|0|107743.0|0
