|dates|Perry_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Perry_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Perry_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Perry_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Perry_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Perry_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Perry_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Perry_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-02|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-03|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-04|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-05|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-06|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-07|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-08|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-09|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-10|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-11|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-12|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-13|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-14|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-15|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-16|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-17|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-18|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-19|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-20|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-21|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
0|2020-01-22|2818.5|0|231.0|0|7.575012297097885|0|3049.5|0
