|dates|Macon_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Macon_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Macon_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Macon_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Macon_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Macon_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Macon_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Macon_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-02|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-03|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-04|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-05|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-06|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-07|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-08|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-09|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-10|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-11|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-12|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-13|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-14|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-15|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-16|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-17|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-18|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-19|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-20|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-21|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-22|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-23|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-24|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-25|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-26|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-27|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
0|2020-01-28|11147.5|0|388.0|0|3.3635299726929913|0|11535.5|0
