|dates|Borden_Texas_UnitedStates.BLS_EmployedPopulation.data|Borden_Texas_UnitedStates.BLS_EmployedPopulation.missing|Borden_Texas_UnitedStates.BLS_UnemployedPopulation.data|Borden_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Borden_Texas_UnitedStates.BLS_UnemploymentRate.data|Borden_Texas_UnitedStates.BLS_UnemploymentRate.missing|Borden_Texas_UnitedStates.BLS_LaborForcePopulation.data|Borden_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-02|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-03|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-04|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-05|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-06|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-07|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-08|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-09|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-10|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-11|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-12|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-13|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-14|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-15|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-16|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-17|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-18|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-19|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-20|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-21|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-22|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-23|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-24|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-25|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-26|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-27|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-28|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-29|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-30|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-01-31|437.5|0|10.0|0|2.2346368715083798|0|447.5|0
0|2020-02-01|430.5|0|10.0|0|2.2701475595913734|0|440.5|0
0|2020-02-02|430.5|0|10.0|0|2.2701475595913734|0|440.5|0
0|2020-02-03|430.5|0|10.0|0|2.2701475595913734|0|440.5|0
0|2020-02-04|430.5|0|10.0|0|2.2701475595913734|0|440.5|0
