|dates|SweetGrass_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SweetGrass_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SweetGrass_Montana_UnitedStates.Male_Total_Population.data|SweetGrass_Montana_UnitedStates.Male_Total_Population.missing|SweetGrass_Montana_UnitedStates.Female_Total_Population.data|SweetGrass_Montana_UnitedStates.Female_Total_Population.missing|SweetGrass_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|SweetGrass_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-02|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-03|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-04|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-05|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-06|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-07|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-08|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-09|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-10|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-11|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-12|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-13|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-14|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-15|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-16|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-17|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-18|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-19|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-20|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-21|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2020-01-22|986.0|0|1895.0|0|1815.0|0|734.0|0
