|dates|Rich_Utah_UnitedStates.AveragePrecipitationTotal.data|Rich_Utah_UnitedStates.AveragePrecipitationTotal.missing|Rich_Utah_UnitedStates.AveragePrecipitation.data|Rich_Utah_UnitedStates.AveragePrecipitation.missing|Rich_Utah_UnitedStates.AverageWindDirection.data|Rich_Utah_UnitedStates.AverageWindDirection.missing|Rich_Utah_UnitedStates.AverageWindSpeed.data|Rich_Utah_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|259.2708333333333|0|20.197916666666668|0
0|2020-01-02|0.0|0|0.0|0|257.7604166666667|0|14.026041666666666|0
0|2020-01-03|0.0|0|0.0|0|238.22916666666666|0|9.760416666666666|0
0|2020-01-04|0.0|0|0.0|0|243.64583333333334|0|9.302083333333334|0
0|2020-01-05|0.0|0|0.0|0|238.125|0|11.333333333333334|0
0|2020-01-06|0.0|0|0.0|0|245.3125|0|21.645833333333332|0
0|2020-01-07|0.0|0|0.0|0|191.04166666666666|0|5.78125|0
0|2020-01-08|0.0|0|0.0|0|197.8125|0|9.28125|0
0|2020-01-09|0.0|0|0.0|0|237.5|0|9.708333333333334|0
0|2020-01-10|0.0|0|0.0|0|230.625|0|7.572916666666667|0
0|2020-01-11|0.0|0|0.0|0|221.45833333333334|0|8.34375|0
0|2020-01-12|0.0|0|0.0|0|229.16666666666666|0|10.041666666666666|0
0|2020-01-13|0.0|0|0.0|0|221.35416666666666|0|11.927083333333334|0
0|2020-01-14|0.0|0|0.0|0|237.5|0|14.864583333333334|0
0|2020-01-15|0.0|0|0.0|0|162.08333333333334|0|6.770833333333333|0
0|2020-01-16|0.0|0|0.0|0|175.20833333333334|0|5.572916666666667|0
0|2020-01-17|0.0|0|0.0|0|237.29166666666666|0|13.645833333333334|0
0|2020-01-18|0.0|0|0.0|0|215.52083333333334|0|4.354166666666667|0
0|2020-01-19|0.0|0|0.0|0|243.64583333333334|0|6.125|0
0|2020-01-20|0.0|0|0.0|0|141.25|0|3.375|0
0|2020-01-21|0.0|0|0.0|0|148.4375|0|3.2604166666666665|0
0|2020-01-22|0.0|0|0.0|0|258.5416666666667|0|13.3125|0
0|2020-01-23|0.0|0|0.0|0|241.5625|0|6.552083333333333|0
0|2020-01-24|0.0|0|0.0|0|194.89583333333334|0|5.3125|0
0|2020-01-25|0.0|0|0.0|0|221.97916666666666|0|7.84375|0
0|2020-01-26|0.0|0|0.0|0|143.95833333333334|0|2.8958333333333335|0
0|2020-01-27|0.0|0|0.0|0|265.8333333333333|0|17.552083333333332|0
0|2020-01-28|0.0|0|0.0|0|214.58333333333334|0|8.46875|0
0|2020-01-29|0.0|0|0.0|0|256.6666666666667|0|8.197916666666666|0
0|2020-01-30|0.0|0|0.0|0|252.8125|0|14.09375|0
0|2020-01-31|0.0|0|0.0|0|263.8541666666667|0|11.59375|0
0|2020-02-01|0.0|0|0.0|0|223.54166666666666|0|8.114583333333334|0
0|2020-02-02|0.0|0|0.0|0|210.20833333333334|0|7.552083333333333|0
0|2020-02-03|0.0|0|0.0|0|106.14583333333333|0|15.21875|0
0|2020-02-04|0.0|0|0.0|0|236.51041666666666|0|6.28125|0
0|2020-02-05|0.0|0|0.0|0|256.1458333333333|0|16.927083333333332|0
0|2020-02-06|0.0|0|0.0|0|249.0625|0|26.260416666666668|0
0|2020-02-07|0.0|0|0.0|0|260.1041666666667|0|28.114583333333332|0
0|2020-02-08|0.0|0|0.0|0|252.91666666666666|0|15.947916666666666|0
0|2020-02-09|0.0|0|0.0|0|233.22916666666666|0|7.291666666666667|0
0|2020-02-10|0.0|0|0.0|0|209.6875|0|5.229166666666667|0
0|2020-02-11|0.0|0|0.0|0|255.15625|0|8.776041666666666|0
0|2020-02-12|0.0|0|0.0|0|228.125|0|8.322916666666666|0
0|2020-02-13|0.0|0|0.0|0|256.3541666666667|0|11.0625|0
0|2020-02-14|0.0|0|0.0|0|251.875|0|13.229166666666666|0
0|2020-02-15|0.0|0|0.0|0|236.5625|0|9.125|0
0|2020-02-16|0.0|0|0.0|0|257.0833333333333|0|21.239583333333332|0
0|2020-02-17|0.0|0|0.0|0|276.6666666666667|0|11.333333333333334|0
0|2020-02-18|0.0|0|0.0|0|160.3125|0|3.0104166666666665|0
0|2020-02-19|0.0|0|0.0|0|258.28125|0|6.953125|0
0|2020-02-20|0.0|0|0.0|0|239.42708333333334|0|6.359375|0
0|2020-02-21|0.0|0|0.0|0|153.85416666666666|0|2.6197916666666665|0
0|2020-02-22|0.0|0|0.0|0|129.89583333333334|0|2.96875|0
0|2020-02-23|0.0|0|0.0|0|254.79166666666666|0|8.916666666666666|0
0|2020-02-24|0.0|0|0.0|0|271.25|0|20.541666666666668|0
0|2020-02-25|0.0|0|0.0|0|225.52083333333334|0|6.791666666666667|0
0|2020-02-26|0.0|0|0.0|0|221.09375|0|7.036458333333333|0
0|2020-02-27|0.0|0|0.0|0|228.02083333333334|0|8.34375|0
0|2020-02-28|0.0|0|0.0|0|211.97916666666666|0|5.65625|0
0|2020-02-29|0.0|0|0.0|0|161.04166666666666|0|4.864583333333333|0
