|dates|Allegan_Michigan_UnitedStates.BLS_EmployedPopulation.data|Allegan_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Allegan_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Allegan_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Allegan_Michigan_UnitedStates.BLS_UnemploymentRate.data|Allegan_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Allegan_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Allegan_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-02|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-03|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-04|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-05|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-06|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-07|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-08|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-09|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-10|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-11|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-12|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-13|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-14|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-15|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-16|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-17|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-18|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-19|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-20|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-21|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-22|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-23|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-24|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-25|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-26|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-27|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-28|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-29|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-30|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-01-31|59885.5|0|2036.0|0|3.288034043102961|0|61921.5|0
0|2020-02-01|60664.0|0|1838.0|0|2.940705897411283|0|62502.0|0
0|2020-02-02|60664.0|0|1838.0|0|2.940705897411283|0|62502.0|0
0|2020-02-03|60664.0|0|1838.0|0|2.940705897411283|0|62502.0|0
0|2020-02-04|60664.0|0|1838.0|0|2.940705897411283|0|62502.0|0
0|2020-02-05|60664.0|0|1838.0|0|2.940705897411283|0|62502.0|0
0|2020-02-06|60664.0|0|1838.0|0|2.940705897411283|0|62502.0|0
0|2020-02-07|60664.0|0|1838.0|0|2.940705897411283|0|62502.0|0
0|2020-02-08|60664.0|0|1838.0|0|2.940705897411283|0|62502.0|0
