|dates|Washington_Oregon_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Washington_Oregon_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Washington_Oregon_UnitedStates.Male_Total_Population.data|Washington_Oregon_UnitedStates.Male_Total_Population.missing|Washington_Oregon_UnitedStates.Female_Total_Population.data|Washington_Oregon_UnitedStates.Female_Total_Population.missing|Washington_Oregon_UnitedStates.MaleAndFemale_Under18_Population.data|Washington_Oregon_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-02|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-03|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-04|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-05|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-06|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-07|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-08|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-09|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-10|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-11|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-12|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-13|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-14|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-15|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-16|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-17|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-18|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-19|80268.0|0|295687.0|0|302008.0|0|136614.0|0
0|2020-01-20|80268.0|0|295687.0|0|302008.0|0|136614.0|0
