|dates|Fleming_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Fleming_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Fleming_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Fleming_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Fleming_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Fleming_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Fleming_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Fleming_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-02|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-03|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-04|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-05|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-06|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-07|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-08|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-09|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-10|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-11|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-12|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-13|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-14|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-15|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-16|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-17|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-18|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-19|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-20|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
0|2020-01-21|5814.5|0|381.5|0|6.157198192382182|0|6196.0|0
