|dates|SanMateo_California_UnitedStates.AveragePrecipitationTotal.data|SanMateo_California_UnitedStates.AveragePrecipitationTotal.missing|SanMateo_California_UnitedStates.AveragePrecipitation.data|SanMateo_California_UnitedStates.AveragePrecipitation.missing|SanMateo_California_UnitedStates.AverageWindDirection.data|SanMateo_California_UnitedStates.AverageWindDirection.missing|SanMateo_California_UnitedStates.AverageWindSpeed.data|SanMateo_California_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|269.5833333333333|0|6.708333333333333|0
0|2020-01-02|0.0|0|0.0|0|215.625|0|3.6458333333333335|0
0|2020-01-03|0.0|0|0.0|0|120.83333333333333|0|2.6875|0
0|2020-01-04|0.0|0|0.0|0|108.125|0|3.0625|0
0|2020-01-05|0.0|0|0.0|0|116.66666666666667|0|4.541666666666667|0
0|2020-01-06|0.0|0|0.0|0|191.25|0|4.4375|0
0|2020-01-07|0.0|0|0.0|0|115.41666666666667|0|3.8958333333333335|0
0|2020-01-08|0.0|0|0.0|0|182.08333333333334|0|5.3125|0
0|2020-01-09|0.0|0|0.0|0|209.16666666666666|0|6.229166666666667|0
0|2020-01-10|0.0|0|0.0|0|91.66666666666667|0|2.9375|0
0|2020-01-11|0.0|0|0.0|0|156.875|0|6.104166666666667|0
0|2020-01-12|0.0|0|0.0|0|140.83333333333334|0|4.416666666666667|0
0|2020-01-13|0.0|0|0.0|0|90.0|0|5.583333333333333|0
0|2020-01-14|0.0|0|0.0|0|150.83333333333334|0|4.25|0
0|2020-01-15|0.0|0|0.0|0|122.91666666666667|0|3.4791666666666665|0
0|2020-01-16|0.0|0|0.0|0|112.70833333333333|0|8.375|0
0|2020-01-17|0.0|0|0.0|0|49.791666666666664|0|3.0416666666666665|0
0|2020-01-18|0.0|0|0.0|0|67.08333333333333|0|4.854166666666667|0
0|2020-01-19|0.0|0|0.0|0|27.083333333333332|0|5.520833333333333|0
0|2020-01-20|0.0|0|0.0|0|26.25|0|1.3958333333333333|0
0|2020-01-21|0.0|0|0.0|0|133.95833333333334|0|8.1875|0
0|2020-01-22|0.0|0|0.0|0|146.04166666666666|0|4.604166666666667|0
0|2020-01-23|0.0|0|0.0|0|42.291666666666664|0|1.3333333333333333|0
0|2020-01-24|0.0|0|0.0|0|179.2361111111111|0|4.145833333333333|0
0|2020-01-25|0.0|0|0.0|0|52.083333333333336|0|1.875|0
0|2020-01-26|0.0|0|0.0|0|151.04166666666666|0|4.395833333333333|0
0|2020-01-27|0.0|0|0.0|0|171.45833333333334|0|4.8125|0
0|2020-01-28|0.0|0|0.0|0|201.875|0|5.833333333333333|0
0|2020-01-29|0.0|0|0.0|0|167.29166666666666|0|5.5|0
0|2020-01-30|0.0|0|0.0|0|91.04166666666667|0|3.1666666666666665|0
0|2020-01-31|0.0|0|0.0|0|78.33333333333333|0|2.1666666666666665|0
0|2020-02-01|0.0|0|0.0|0|84.375|0|1.6041666666666667|0
0|2020-02-02|0.0|0|0.0|0|199.16666666666666|0|12.708333333333334|0
0|2020-02-03|0.0|0|0.0|0|287.2916666666667|0|12.458333333333334|0
0|2020-02-04|0.0|0|0.0|0|261.875|0|7.916666666666667|0
0|2020-02-05|0.0|0|0.0|0|132.70833333333334|0|3.8958333333333335|0
0|2020-02-06|0.0|0|0.0|0|201.25|0|5.0|0
0|2020-02-07|0.0|0|0.0|0|181.875|0|4.958333333333333|0
0|2020-02-08|0.0|0|0.0|0|153.95833333333334|0|6.0|0
0|2020-02-09|0.0|0|0.0|0|246.25|0|18.458333333333332|0
0|2020-02-10|0.0|0|0.0|0|177.91666666666666|0|8.1875|0
0|2020-02-11|0.0|0|0.0|0|134.16666666666666|0|3.25|0
0|2020-02-12|0.0|0|0.0|0|229.375|0|5.0|0
0|2020-02-13|0.0|0|0.0|0|216.875|0|7.208333333333333|0
0|2020-02-14|0.0|0|0.0|0|89.58333333333333|0|4.291666666666667|0
0|2020-02-15|0.0|0|0.0|0|155.0|0|3.6875|0
0|2020-02-16|0.0|0|0.0|0|132.29166666666666|0|6.083333333333333|0
0|2020-02-17|0.0|0|0.0|0|93.33333333333333|0|3.375|0
0|2020-02-18|0.0|0|0.0|0|133.95833333333334|0|4.166666666666667|0
0|2020-02-19|0.0|0|0.0|0|128.33333333333334|0|4.125|0
