|dates|Bell_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Bell_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Bell_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Bell_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Bell_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Bell_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Bell_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Bell_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-02|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-03|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-04|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-05|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-06|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-07|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-08|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-09|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-10|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-11|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-12|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-13|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-14|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-15|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-16|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-17|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-18|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-19|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-20|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-21|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-22|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-23|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-24|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-25|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-26|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
0|2020-01-27|7859.0|0|644.0|0|7.573797483241209|0|8503.0|0
