|dates|Thomas_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Thomas_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Thomas_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Thomas_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Thomas_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Thomas_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Thomas_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Thomas_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-02|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-03|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-04|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-05|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-06|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-07|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-08|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-09|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-10|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-11|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-12|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-13|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-14|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-15|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-16|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-17|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-18|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-19|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-20|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-21|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-22|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-23|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-24|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-25|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-26|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-27|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-28|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-29|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-30|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-01-31|424.0|0|22.5|0|5.039193729003359|0|446.5|0
0|2020-02-01|418.5|0|21.0|0|4.778156996587031|0|439.5|0
0|2020-02-02|418.5|0|21.0|0|4.778156996587031|0|439.5|0
0|2020-02-03|418.5|0|21.0|0|4.778156996587031|0|439.5|0
0|2020-02-04|418.5|0|21.0|0|4.778156996587031|0|439.5|0
0|2020-02-05|418.5|0|21.0|0|4.778156996587031|0|439.5|0
0|2020-02-06|418.5|0|21.0|0|4.778156996587031|0|439.5|0
0|2020-02-07|418.5|0|21.0|0|4.778156996587031|0|439.5|0
0|2020-02-08|418.5|0|21.0|0|4.778156996587031|0|439.5|0
