|dates|Denton_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Denton_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Denton_Texas_UnitedStates.Male_Total_Population.data|Denton_Texas_UnitedStates.Male_Total_Population.missing|Denton_Texas_UnitedStates.Female_Total_Population.data|Denton_Texas_UnitedStates.Female_Total_Population.missing|Denton_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Denton_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-02|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-03|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-04|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-05|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-06|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-07|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-08|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-09|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-10|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-11|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-12|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-13|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-14|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-15|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-16|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-17|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-18|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-19|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-20|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-21|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-22|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-23|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-24|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-25|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-26|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-27|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-28|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-29|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-30|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-01-31|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-01|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-02|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-03|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-04|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-05|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-06|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-07|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-08|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-09|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-10|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-11|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-12|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-13|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-14|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-15|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-16|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-17|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-18|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-19|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-20|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-21|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-22|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-23|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-24|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-25|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-26|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-27|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-28|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-02-29|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-01|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-02|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-03|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-04|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-05|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-06|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-07|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-08|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-09|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-10|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-11|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-12|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-13|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-14|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-15|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-16|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-17|87414.0|0|422725.0|0|436339.0|0|211996.0|0
0|2020-03-18|87414.0|0|422725.0|0|436339.0|0|211996.0|0
