|dates|Pacific_Washington_UnitedStates.BLS_EmployedPopulation.data|Pacific_Washington_UnitedStates.BLS_EmployedPopulation.missing|Pacific_Washington_UnitedStates.BLS_UnemployedPopulation.data|Pacific_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Pacific_Washington_UnitedStates.BLS_UnemploymentRate.data|Pacific_Washington_UnitedStates.BLS_UnemploymentRate.missing|Pacific_Washington_UnitedStates.BLS_LaborForcePopulation.data|Pacific_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-02|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-03|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-04|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-05|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-06|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-07|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-08|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-09|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-10|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-11|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-12|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-13|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-14|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-15|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-16|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-17|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-18|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-19|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-20|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-21|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-22|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-23|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-24|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-25|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-26|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-27|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-28|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-29|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-30|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-01-31|7966.5|0|596.5|0|6.966016582973257|0|8563.0|0
0|2020-02-01|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-02|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-03|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-04|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-05|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-06|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-07|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-08|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-09|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-10|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-11|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-12|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-13|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-14|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-15|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-16|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-17|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-18|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-19|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-20|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-21|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-22|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-23|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-24|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-25|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-26|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-27|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-28|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-02-29|7924.5|0|590.0|0|6.929355804803571|0|8514.5|0
0|2020-03-01|7670.5|0|605.0|0|7.31073651138904|0|8275.5|0
0|2020-03-02|7670.5|0|605.0|0|7.31073651138904|0|8275.5|0
0|2020-03-03|7670.5|0|605.0|0|7.31073651138904|0|8275.5|0
