|dates|Hampshire_Massachusetts_UnitedStates.BLS_EmployedPopulation.data|Hampshire_Massachusetts_UnitedStates.BLS_EmployedPopulation.missing|Hampshire_Massachusetts_UnitedStates.BLS_UnemployedPopulation.data|Hampshire_Massachusetts_UnitedStates.BLS_UnemployedPopulation.missing|Hampshire_Massachusetts_UnitedStates.BLS_UnemploymentRate.data|Hampshire_Massachusetts_UnitedStates.BLS_UnemploymentRate.missing|Hampshire_Massachusetts_UnitedStates.BLS_LaborForcePopulation.data|Hampshire_Massachusetts_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-02|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-03|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-04|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-05|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-06|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-07|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-08|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-09|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-10|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-11|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-12|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-13|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-14|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-15|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-16|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-17|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-18|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-19|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-20|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-21|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-22|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-23|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-24|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-25|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-26|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-27|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-28|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-29|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-30|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-01-31|87139.0|0|2791.0|0|3.1035249638607807|0|89930.0|0
0|2020-02-01|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-02|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-03|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-04|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-05|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-06|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-07|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-08|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-09|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-10|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-11|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-12|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-13|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-14|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-15|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-16|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-17|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-18|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-19|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-20|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-21|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-22|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-23|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-24|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-25|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-26|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-27|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-28|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-02-29|87962.5|0|2664.0|0|2.93953755248189|0|90626.5|0
0|2020-03-01|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-02|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-03|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-04|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-05|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-06|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-07|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-08|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-09|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-10|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-11|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-12|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-13|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-14|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-15|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-16|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-17|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-18|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-19|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-20|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-21|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-22|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-23|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-24|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-25|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-26|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-27|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-28|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-29|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-30|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-03-31|86913.5|0|2386.0|0|2.671907457488564|0|89299.5|0
0|2020-04-01|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-02|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-03|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-04|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-05|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-06|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-07|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-08|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-09|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-10|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-11|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-12|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-13|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-14|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-15|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-16|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-17|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-18|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-19|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-20|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-21|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-22|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-23|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-24|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-25|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-26|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-27|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-28|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-29|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-04-30|68029.5|0|9632.5|0|12.403105766011691|0|77662.0|0
0|2020-05-01|72808.0|0|9607.0|0|11.656858581568889|0|82415.0|0
0|2020-05-02|72808.0|0|9607.0|0|11.656858581568889|0|82415.0|0
0|2020-05-03|72808.0|0|9607.0|0|11.656858581568889|0|82415.0|0
0|2020-05-04|72808.0|0|9607.0|0|11.656858581568889|0|82415.0|0
0|2020-05-05|72808.0|0|9607.0|0|11.656858581568889|0|82415.0|0
0|2020-05-06|72808.0|0|9607.0|0|11.656858581568889|0|82415.0|0
0|2020-05-07|72808.0|0|9607.0|0|11.656858581568889|0|82415.0|0
0|2020-05-08|72808.0|0|9607.0|0|11.656858581568889|0|82415.0|0
0|2020-05-09|72808.0|0|9607.0|0|11.656858581568889|0|82415.0|0
0|2020-05-10|72808.0|0|9607.0|0|11.656858581568889|0|82415.0|0
