|dates|Davie_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Davie_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Davie_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Davie_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Davie_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Davie_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Davie_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Davie_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-02|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-03|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-04|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-05|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-06|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-07|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-08|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-09|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-10|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-11|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-12|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-13|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-14|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-15|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-16|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-17|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-18|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-19|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-20|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-21|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-22|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-23|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-24|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-25|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-26|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-27|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-28|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-29|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-30|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-01-31|20103.5|0|711.5|0|3.418208023060293|0|20815.0|0
0|2020-02-01|20269.0|0|657.5|0|3.141949203163453|0|20926.5|0
0|2020-02-02|20269.0|0|657.5|0|3.141949203163453|0|20926.5|0
0|2020-02-03|20269.0|0|657.5|0|3.141949203163453|0|20926.5|0
