|dates|HotSprings_Wyoming_UnitedStates.BLS_EmployedPopulation.data|HotSprings_Wyoming_UnitedStates.BLS_EmployedPopulation.missing|HotSprings_Wyoming_UnitedStates.BLS_UnemployedPopulation.data|HotSprings_Wyoming_UnitedStates.BLS_UnemployedPopulation.missing|HotSprings_Wyoming_UnitedStates.BLS_UnemploymentRate.data|HotSprings_Wyoming_UnitedStates.BLS_UnemploymentRate.missing|HotSprings_Wyoming_UnitedStates.BLS_LaborForcePopulation.data|HotSprings_Wyoming_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-02|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-03|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-04|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-05|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-06|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-07|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-08|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-09|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-10|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-11|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-12|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-13|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-14|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-15|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-16|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-17|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-18|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-19|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-20|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
0|2020-01-21|2082.5|0|97.5|0|4.472477064220183|0|2180.0|0
