|dates|Charles_Maryland_UnitedStates.BLS_EmployedPopulation.data|Charles_Maryland_UnitedStates.BLS_EmployedPopulation.missing|Charles_Maryland_UnitedStates.BLS_UnemployedPopulation.data|Charles_Maryland_UnitedStates.BLS_UnemployedPopulation.missing|Charles_Maryland_UnitedStates.BLS_UnemploymentRate.data|Charles_Maryland_UnitedStates.BLS_UnemploymentRate.missing|Charles_Maryland_UnitedStates.BLS_LaborForcePopulation.data|Charles_Maryland_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-02|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-03|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-04|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-05|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-06|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-07|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-08|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-09|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-10|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-11|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-12|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-13|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-14|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-15|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-16|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-17|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-18|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-19|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-20|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-21|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-22|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-23|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-24|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-25|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-26|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
0|2020-01-27|85731.5|0|3157.5|0|3.5521830597711754|0|88889.0|0
