|dates|Siskiyou_California_UnitedStates.BLS_EmployedPopulation.data|Siskiyou_California_UnitedStates.BLS_EmployedPopulation.missing|Siskiyou_California_UnitedStates.BLS_UnemployedPopulation.data|Siskiyou_California_UnitedStates.BLS_UnemployedPopulation.missing|Siskiyou_California_UnitedStates.BLS_UnemploymentRate.data|Siskiyou_California_UnitedStates.BLS_UnemploymentRate.missing|Siskiyou_California_UnitedStates.BLS_LaborForcePopulation.data|Siskiyou_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-02|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-03|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-04|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-05|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-06|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-07|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-08|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-09|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-10|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-11|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-12|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-13|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-14|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-15|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-16|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-17|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-18|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-19|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-20|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
0|2020-01-21|15580.5|0|1427.5|0|8.393109125117592|0|17008.0|0
