|dates|Pondera_Montana_UnitedStates.BLS_EmployedPopulation.data|Pondera_Montana_UnitedStates.BLS_EmployedPopulation.missing|Pondera_Montana_UnitedStates.BLS_UnemployedPopulation.data|Pondera_Montana_UnitedStates.BLS_UnemployedPopulation.missing|Pondera_Montana_UnitedStates.BLS_UnemploymentRate.data|Pondera_Montana_UnitedStates.BLS_UnemploymentRate.missing|Pondera_Montana_UnitedStates.BLS_LaborForcePopulation.data|Pondera_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-02|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-03|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-04|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-05|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-06|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-07|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-08|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-09|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-10|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-11|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-12|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-13|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-14|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-15|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-16|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-17|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-18|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-19|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-20|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-21|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-22|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-23|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-24|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-25|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-26|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-27|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-28|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-29|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-30|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-01-31|2527.5|0|100.0|0|3.8058991436726926|0|2627.5|0
0|2020-02-01|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-02|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-03|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-04|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-05|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-06|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-07|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-08|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-09|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-10|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-11|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-12|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-13|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
0|2020-02-14|2575.5|0|90.5|0|3.3945986496624156|0|2666.0|0
