|dates|Amherst_Virginia_UnitedStates.BLS_EmployedPopulation.data|Amherst_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Amherst_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Amherst_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Amherst_Virginia_UnitedStates.BLS_UnemploymentRate.data|Amherst_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Amherst_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Amherst_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-02|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-03|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-04|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-05|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-06|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-07|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-08|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-09|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-10|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-11|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-12|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-13|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-14|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-15|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-16|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-17|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-18|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
0|2020-01-19|14620.5|0|513.5|0|3.3930223338178935|0|15134.0|0
