|dates|Grand_Utah_UnitedStates.BLS_EmployedPopulation.data|Grand_Utah_UnitedStates.BLS_EmployedPopulation.missing|Grand_Utah_UnitedStates.BLS_UnemployedPopulation.data|Grand_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Grand_Utah_UnitedStates.BLS_UnemploymentRate.data|Grand_Utah_UnitedStates.BLS_UnemploymentRate.missing|Grand_Utah_UnitedStates.BLS_LaborForcePopulation.data|Grand_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-02|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-03|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-04|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-05|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-06|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-07|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-08|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-09|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-10|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-11|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-12|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-13|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-14|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-15|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-16|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-17|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-18|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-19|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-20|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-21|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-22|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-23|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-24|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-25|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-26|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-27|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-28|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-29|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-30|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-01-31|4867.0|0|541.5|0|10.012018119626514|0|5408.5|0
0|2020-02-01|5271.0|0|443.5|0|7.760958964038848|0|5714.5|0
0|2020-02-02|5271.0|0|443.5|0|7.760958964038848|0|5714.5|0
0|2020-02-03|5271.0|0|443.5|0|7.760958964038848|0|5714.5|0
0|2020-02-04|5271.0|0|443.5|0|7.760958964038848|0|5714.5|0
0|2020-02-05|5271.0|0|443.5|0|7.760958964038848|0|5714.5|0
0|2020-02-06|5271.0|0|443.5|0|7.760958964038848|0|5714.5|0
0|2020-02-07|5271.0|0|443.5|0|7.760958964038848|0|5714.5|0
0|2020-02-08|5271.0|0|443.5|0|7.760958964038848|0|5714.5|0
0|2020-02-09|5271.0|0|443.5|0|7.760958964038848|0|5714.5|0
