|dates|Stanley_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Stanley_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Stanley_SouthDakota_UnitedStates.Male_Total_Population.data|Stanley_SouthDakota_UnitedStates.Male_Total_Population.missing|Stanley_SouthDakota_UnitedStates.Female_Total_Population.data|Stanley_SouthDakota_UnitedStates.Female_Total_Population.missing|Stanley_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Stanley_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-02|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-03|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-04|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-05|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-06|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-07|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-08|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-09|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-10|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-11|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-12|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-13|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-14|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-15|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-16|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-17|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-18|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-19|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-20|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-21|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-22|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-23|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-24|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-25|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-26|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-27|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-28|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-29|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-30|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-01-31|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-01|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-02|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-03|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-04|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-05|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-06|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-07|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-08|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-09|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-10|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-11|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-12|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-13|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-14|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-15|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-16|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-17|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-18|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-19|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-20|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-21|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-22|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-23|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-24|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-25|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-26|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-27|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-28|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-02-29|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-01|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-02|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-03|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-04|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-05|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-06|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-07|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-08|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-09|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-10|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-11|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-12|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-13|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-14|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-15|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-16|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-17|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-18|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-19|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-20|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-21|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-22|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-23|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-24|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-25|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-26|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-27|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-28|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-29|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-30|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-03-31|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-01|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-02|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-03|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-04|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-05|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-06|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-07|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-08|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-09|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-10|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-11|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-12|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-13|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-14|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-15|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-16|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-17|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-18|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-19|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-20|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-21|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-22|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-23|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-24|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-25|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-26|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-27|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-28|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-29|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-04-30|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-01|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-02|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-03|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-04|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-05|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-06|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-07|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-08|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-09|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-10|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-11|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-12|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-13|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-14|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-15|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-16|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-17|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-18|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-19|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-20|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-21|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-22|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-23|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-24|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-25|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-26|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-27|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-28|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-29|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-30|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-05-31|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-06-01|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-06-02|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-06-03|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-06-04|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-06-05|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-06-06|617.0|0|1550.0|0|1472.0|0|731.0|0
0|2020-06-07|617.0|0|1550.0|0|1472.0|0|731.0|0
