|dates|Johnson_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Johnson_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Johnson_Nebraska_UnitedStates.Male_Total_Population.data|Johnson_Nebraska_UnitedStates.Male_Total_Population.missing|Johnson_Nebraska_UnitedStates.Female_Total_Population.data|Johnson_Nebraska_UnitedStates.Female_Total_Population.missing|Johnson_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Johnson_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-02|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-03|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-04|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-05|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-06|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-07|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-08|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-09|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-10|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-11|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-12|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-13|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-14|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-15|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-16|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-17|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-18|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-19|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-20|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-21|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-22|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-23|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-24|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-25|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-26|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-27|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-28|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-29|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-30|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-01-31|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-01|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-02|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-03|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-04|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-05|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-06|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-07|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-08|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-09|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-10|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-11|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-12|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-13|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-14|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-15|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-16|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-17|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-18|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-19|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-20|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-21|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-22|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-23|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-24|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-25|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-26|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-27|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-28|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-02-29|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-03-01|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-03-02|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-03-03|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-03-04|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-03-05|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-03-06|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-03-07|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-03-08|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-03-09|963.0|0|3019.0|0|2115.0|0|966.0|0
0|2020-03-10|963.0|0|3019.0|0|2115.0|0|966.0|0
