|dates|Sully_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sully_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sully_SouthDakota_UnitedStates.Male_Total_Population.data|Sully_SouthDakota_UnitedStates.Male_Total_Population.missing|Sully_SouthDakota_UnitedStates.Female_Total_Population.data|Sully_SouthDakota_UnitedStates.Female_Total_Population.missing|Sully_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Sully_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-02|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-03|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-04|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-05|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-06|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-07|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-08|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-09|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-10|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-11|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-12|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-13|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-14|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-15|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-16|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-17|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-18|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-19|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-20|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-21|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-22|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-23|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-24|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-25|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-26|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-27|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-28|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-29|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-30|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-01-31|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-01|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-02|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-03|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-04|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-05|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-06|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-07|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-08|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-09|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-10|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-11|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-12|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-13|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-14|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-15|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-16|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-17|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-18|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-19|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-20|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-21|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-22|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-23|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-24|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-25|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-26|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-27|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-28|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-02-29|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-01|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-02|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-03|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-04|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-05|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-06|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-07|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-08|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-09|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-10|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-11|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-12|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-13|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-14|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-15|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-16|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-17|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-18|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-19|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-20|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-21|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-22|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-23|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-24|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-25|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-26|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-27|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-28|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-29|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-30|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-03-31|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-01|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-02|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-03|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-04|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-05|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-06|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-07|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-08|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-09|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-10|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-11|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-12|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-13|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-14|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-15|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-16|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-17|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-18|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-19|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-20|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-21|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-22|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-23|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-24|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-25|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-26|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-27|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-28|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-29|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-04-30|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-01|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-02|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-03|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-04|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-05|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-06|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-07|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-08|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-09|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-10|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-11|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-12|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-13|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-14|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-15|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-16|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-17|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-18|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-19|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-20|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-21|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-22|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-23|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-24|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-25|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-26|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-27|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-28|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-29|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-30|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-05-31|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-06-01|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-06-02|348.0|0|732.0|0|660.0|0|292.0|0
0|2020-06-03|348.0|0|732.0|0|660.0|0|292.0|0
