|dates|Preble_Ohio_UnitedStates.BLS_EmployedPopulation.data|Preble_Ohio_UnitedStates.BLS_EmployedPopulation.missing|Preble_Ohio_UnitedStates.BLS_UnemployedPopulation.data|Preble_Ohio_UnitedStates.BLS_UnemployedPopulation.missing|Preble_Ohio_UnitedStates.BLS_UnemploymentRate.data|Preble_Ohio_UnitedStates.BLS_UnemploymentRate.missing|Preble_Ohio_UnitedStates.BLS_LaborForcePopulation.data|Preble_Ohio_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-02|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-03|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-04|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-05|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-06|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-07|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-08|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-09|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-10|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-11|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-12|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-13|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-14|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-15|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-16|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-17|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-18|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-19|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-20|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-21|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-22|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-23|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
0|2020-01-24|20139.5|0|1044.5|0|4.930608006042296|0|21184.0|0
