|dates|Muscatine_Iowa_UnitedStates.BLS_EmployedPopulation.data|Muscatine_Iowa_UnitedStates.BLS_EmployedPopulation.missing|Muscatine_Iowa_UnitedStates.BLS_UnemployedPopulation.data|Muscatine_Iowa_UnitedStates.BLS_UnemployedPopulation.missing|Muscatine_Iowa_UnitedStates.BLS_UnemploymentRate.data|Muscatine_Iowa_UnitedStates.BLS_UnemploymentRate.missing|Muscatine_Iowa_UnitedStates.BLS_LaborForcePopulation.data|Muscatine_Iowa_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-02|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-03|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-04|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-05|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-06|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-07|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-08|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-09|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-10|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-11|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-12|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-13|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-14|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-15|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-16|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-17|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-18|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-19|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-20|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-21|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-22|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-23|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-24|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-25|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-26|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-27|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-28|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-29|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-30|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-01-31|21299.5|0|782.5|0|3.5436101802372972|0|22082.0|0
0|2020-02-01|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-02|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-03|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-04|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-05|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-06|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-07|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-08|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-09|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-10|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-11|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-12|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-13|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-14|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-15|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-16|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-17|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-18|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-19|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-20|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-21|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-22|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-23|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-24|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
0|2020-02-25|21363.0|0|701.5|0|3.179315189557887|0|22064.5|0
