|dates|Hettinger_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hettinger_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hettinger_NorthDakota_UnitedStates.Male_Total_Population.data|Hettinger_NorthDakota_UnitedStates.Male_Total_Population.missing|Hettinger_NorthDakota_UnitedStates.Female_Total_Population.data|Hettinger_NorthDakota_UnitedStates.Female_Total_Population.missing|Hettinger_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Hettinger_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-02|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-03|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-04|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-05|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-06|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-07|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-08|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-09|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-10|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-11|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-12|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-13|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-14|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-15|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-16|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-17|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-18|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-19|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-20|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-21|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-22|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-23|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-24|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-25|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-26|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-27|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-28|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-29|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-30|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-01-31|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-02-01|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-02-02|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-02-03|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-02-04|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-02-05|564.0|0|1218.0|0|1296.0|0|610.0|0
0|2020-02-06|564.0|0|1218.0|0|1296.0|0|610.0|0
