|dates|Fayette_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Fayette_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Fayette_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Fayette_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Fayette_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Fayette_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Fayette_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Fayette_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-02|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-03|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-04|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-05|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-06|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-07|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-08|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-09|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-10|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-11|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-12|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-13|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-14|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-15|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-16|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-17|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-18|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-19|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-20|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-21|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-22|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-23|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-24|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-25|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-26|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-27|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-28|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-29|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-30|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-01-31|168964.0|0|6006.5|0|3.4328643971412323|0|174970.5|0
0|2020-02-01|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-02|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-03|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-04|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-05|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-06|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-07|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-08|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-09|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-10|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-11|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-12|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-13|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-14|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-15|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-16|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-17|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-18|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-19|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
0|2020-02-20|169480.0|0|5444.5|0|3.1124856723900884|0|174924.5|0
