|dates|Douglas_Washington_UnitedStates.BLS_EmployedPopulation.data|Douglas_Washington_UnitedStates.BLS_EmployedPopulation.missing|Douglas_Washington_UnitedStates.BLS_UnemployedPopulation.data|Douglas_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Douglas_Washington_UnitedStates.BLS_UnemploymentRate.data|Douglas_Washington_UnitedStates.BLS_UnemploymentRate.missing|Douglas_Washington_UnitedStates.BLS_LaborForcePopulation.data|Douglas_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-02|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-03|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-04|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-05|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-06|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-07|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-08|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-09|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-10|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-11|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-12|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-13|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-14|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-15|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-16|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-17|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-18|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-19|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-20|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-21|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-22|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-23|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-24|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-25|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-26|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-27|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-28|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-29|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-30|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-01-31|19441.0|0|1511.0|0|7.211722031309661|0|20952.0|0
0|2020-02-01|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-02|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-03|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-04|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-05|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-06|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-07|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-08|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-09|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-10|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-11|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-12|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-13|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-14|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-15|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-16|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-17|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-18|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-19|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-20|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-21|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-22|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
0|2020-02-23|19549.5|0|1476.0|0|7.020047085681672|0|21025.5|0
