|dates|Hoke_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Hoke_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Hoke_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Hoke_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Hoke_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Hoke_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Hoke_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Hoke_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-02|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-03|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-04|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-05|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-06|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-07|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-08|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-09|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-10|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-11|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-12|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-13|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-14|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-15|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-16|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-17|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-18|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-19|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-20|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-21|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-22|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-23|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-24|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-25|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-26|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-27|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-28|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-29|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-30|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
0|2020-01-31|19247.5|0|1016.0|0|5.013941323068572|0|20263.5|0
