|dates|SanBenito_California_UnitedStates.BLS_EmployedPopulation.data|SanBenito_California_UnitedStates.BLS_EmployedPopulation.missing|SanBenito_California_UnitedStates.BLS_UnemployedPopulation.data|SanBenito_California_UnitedStates.BLS_UnemployedPopulation.missing|SanBenito_California_UnitedStates.BLS_UnemploymentRate.data|SanBenito_California_UnitedStates.BLS_UnemploymentRate.missing|SanBenito_California_UnitedStates.BLS_LaborForcePopulation.data|SanBenito_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-02|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-03|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-04|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-05|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-06|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-07|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-08|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-09|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-10|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-11|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-12|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-13|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-14|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-15|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-16|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-17|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-18|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-19|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-20|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-21|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-22|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-23|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-24|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-25|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-26|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-27|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
0|2020-01-28|29948.0|0|1977.0|0|6.192638997650744|0|31925.0|0
