|dates|Logan_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Logan_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Logan_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Logan_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Logan_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Logan_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Logan_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Logan_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-02|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-03|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-04|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-05|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-06|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-07|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-08|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-09|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-10|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-11|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-12|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-13|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-14|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-15|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-16|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-17|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-18|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-19|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-20|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-21|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-22|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-23|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-24|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-25|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-26|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-27|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-28|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-29|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-30|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-01-31|12008.0|0|552.0|0|4.3949044585987265|0|12560.0|0
0|2020-02-01|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-02|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-03|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-04|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-05|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-06|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-07|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-08|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-09|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-10|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-11|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-12|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-13|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-14|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-15|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-16|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-17|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-18|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-19|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-20|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-21|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-22|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-23|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-24|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-25|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-26|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-27|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-28|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-02-29|12020.0|0|513.5|0|4.097019986436351|0|12533.5|0
0|2020-03-01|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-02|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-03|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-04|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-05|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-06|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-07|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-08|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-09|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-10|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-11|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-12|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-13|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-14|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-15|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-16|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-17|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-18|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-19|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-20|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-21|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-22|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-23|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-24|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-25|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-26|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-27|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-28|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-29|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-30|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-03-31|11960.0|0|599.0|0|4.769488016561828|0|12559.0|0
0|2020-04-01|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-02|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-03|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-04|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-05|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-06|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-07|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-08|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-09|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-10|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-11|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-12|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-13|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-14|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-15|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-16|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-17|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-18|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-19|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
0|2020-04-20|10152.5|0|1911.0|0|15.841173788701456|0|12063.5|0
