|dates|Hertford_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Hertford_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Hertford_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Hertford_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Hertford_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Hertford_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Hertford_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Hertford_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-02|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-03|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-04|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-05|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-06|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-07|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-08|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-09|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-10|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-11|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-12|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-13|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-14|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-15|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-16|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-17|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-18|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-19|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-20|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-21|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-22|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-23|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-24|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-25|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-26|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-27|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-28|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-29|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-30|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-01-31|8800.0|0|472.0|0|5.090595340811044|0|9272.0|0
0|2020-02-01|8855.0|0|448.0|0|4.815650865312265|0|9303.0|0
0|2020-02-02|8855.0|0|448.0|0|4.815650865312265|0|9303.0|0
0|2020-02-03|8855.0|0|448.0|0|4.815650865312265|0|9303.0|0
0|2020-02-04|8855.0|0|448.0|0|4.815650865312265|0|9303.0|0
