|dates|Milwaukee_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Milwaukee_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Milwaukee_Wisconsin_UnitedStates.Male_Total_Population.data|Milwaukee_Wisconsin_UnitedStates.Male_Total_Population.missing|Milwaukee_Wisconsin_UnitedStates.Female_Total_Population.data|Milwaukee_Wisconsin_UnitedStates.Female_Total_Population.missing|Milwaukee_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.data|Milwaukee_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-02|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-03|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-04|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-05|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-06|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-07|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-08|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-09|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-10|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-11|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-12|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-13|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-14|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-15|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-16|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-17|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-18|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-19|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2020-01-20|129003.0|0|459121.0|0|489080.0|0|227422.0|0
