|dates|Graham_Kansas_UnitedStates.BLS_EmployedPopulation.data|Graham_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Graham_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Graham_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Graham_Kansas_UnitedStates.BLS_UnemploymentRate.data|Graham_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Graham_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Graham_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-02|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-03|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-04|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-05|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-06|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-07|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-08|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-09|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-10|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-11|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-12|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-13|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-14|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-15|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-16|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-17|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-18|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-19|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-20|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-21|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-22|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-23|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-24|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-25|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-26|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-27|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-28|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-29|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-30|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-01-31|1075.5|0|33.0|0|2.976995940460081|0|1108.5|0
0|2020-02-01|1103.5|0|28.5|0|2.5176678445229683|0|1132.0|0
0|2020-02-02|1103.5|0|28.5|0|2.5176678445229683|0|1132.0|0
0|2020-02-03|1103.5|0|28.5|0|2.5176678445229683|0|1132.0|0
0|2020-02-04|1103.5|0|28.5|0|2.5176678445229683|0|1132.0|0
0|2020-02-05|1103.5|0|28.5|0|2.5176678445229683|0|1132.0|0
0|2020-02-06|1103.5|0|28.5|0|2.5176678445229683|0|1132.0|0
0|2020-02-07|1103.5|0|28.5|0|2.5176678445229683|0|1132.0|0
0|2020-02-08|1103.5|0|28.5|0|2.5176678445229683|0|1132.0|0
0|2020-02-09|1103.5|0|28.5|0|2.5176678445229683|0|1132.0|0
0|2020-02-10|1103.5|0|28.5|0|2.5176678445229683|0|1132.0|0
0|2020-02-11|1103.5|0|28.5|0|2.5176678445229683|0|1132.0|0
0|2020-02-12|1103.5|0|28.5|0|2.5176678445229683|0|1132.0|0
