|dates|Ray_Missouri_UnitedStates.BLS_EmployedPopulation.data|Ray_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Ray_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Ray_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Ray_Missouri_UnitedStates.BLS_UnemploymentRate.data|Ray_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Ray_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Ray_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-02|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-03|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-04|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-05|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-06|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-07|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-08|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-09|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-10|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-11|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-12|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-13|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-14|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-15|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-16|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-17|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-18|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-19|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-20|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-21|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-22|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-23|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-24|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-25|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-26|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-27|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-28|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-29|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-30|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-01-31|10579.5|0|460.0|0|4.166855382943068|0|11039.5|0
0|2020-02-01|10634.5|0|424.0|0|3.834154722611566|0|11058.5|0
0|2020-02-02|10634.5|0|424.0|0|3.834154722611566|0|11058.5|0
0|2020-02-03|10634.5|0|424.0|0|3.834154722611566|0|11058.5|0
0|2020-02-04|10634.5|0|424.0|0|3.834154722611566|0|11058.5|0
0|2020-02-05|10634.5|0|424.0|0|3.834154722611566|0|11058.5|0
0|2020-02-06|10634.5|0|424.0|0|3.834154722611566|0|11058.5|0
0|2020-02-07|10634.5|0|424.0|0|3.834154722611566|0|11058.5|0
0|2020-02-08|10634.5|0|424.0|0|3.834154722611566|0|11058.5|0
