|dates|McCormick_SouthCarolina_UnitedStates.AveragePrecipitationTotal.data|McCormick_SouthCarolina_UnitedStates.AveragePrecipitationTotal.missing|McCormick_SouthCarolina_UnitedStates.AveragePrecipitation.data|McCormick_SouthCarolina_UnitedStates.AveragePrecipitation.missing|McCormick_SouthCarolina_UnitedStates.AverageWindDirection.data|McCormick_SouthCarolina_UnitedStates.AverageWindDirection.missing|McCormick_SouthCarolina_UnitedStates.AverageWindSpeed.data|McCormick_SouthCarolina_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|228.33333333333334|0|8.005208333333334|0
0|2020-01-02|0.0|0|0.02487847222222221|0|156.73611111111111|0|4.642361111111112|0
0|2020-01-03|0.002326388888888889|0|0.029149305555555536|0|110.83333333333333|0|2.8940972222222228|0
0|2020-01-04|0.021041666666666667|0|0.00418402777777778|0|243.7152777777778|0|11.065972222222221|0
0|2020-01-05|0.0|0|0.0|0|236.25|0|8.03125|0
0|2020-01-06|0.0|0|0.0|0|104.16666666666667|0|4.479166666666667|0
0|2020-01-07|0.0|0|0.002916666666666667|0|210.3125|0|8.494791666666666|0
0|2020-01-08|0.002916666666666667|0|0.0|0|212.8125|0|6.588541666666667|0
0|2020-01-09|0.0|0|0.0|0|48.59375|0|4.776041666666667|0
0|2020-01-10|0.0|0|0.0015104166666666669|0|65.625|0|4.713541666666667|0
0|2020-01-11|6.944444444444444e-05|0|0.08130208333333332|0|170.24305555555557|0|14.081597222222221|0
0|2020-01-12|0.0|0|0.1969791666666667|0|183.68055555555554|0|11.052083333333334|0
0|2020-01-13|0.00640625|0|0.05522569444444444|0|93.02083333333333|0|1.7881944444444446|0
0|2020-01-14|0.028125|0|0.004531250000000001|0|184.89583333333334|0|5.036458333333333|0
0|2020-01-15|0.0004166666666666667|0|0.0004166666666666667|0|201.14583333333334|0|6.3125|0
0|2020-01-16|0.0004166666666666667|0|0.0|0|210.01736111111111|0|9.243055555555555|0
0|2020-01-17|0.0|0|0.0|0|93.95833333333333|0|6.572916666666667|0
0|2020-01-18|0.0|0|0.001684027777777778|0|87.08333333333333|0|2.8802083333333335|0
0|2020-01-19|0.006666666666666667|0|0.002083333333333334|0|246.90972222222226|0|9.27951388888889|0
0|2020-01-20|0.0|0|0.0|0|104.11458333333333|0|5.473958333333333|0
0|2020-01-21|0.0|0|0.0|0|103.59375|0|8.151041666666666|0
0|2020-01-22|0.0|0|0.0|0|53.489583333333336|0|5.536458333333333|0
0|2020-01-23|0.0|0|0.0|0|35.572916666666664|0|7.411458333333333|0
0|2020-01-24|0.0062499999999999995|0|0.017274305555555557|0|140.39930555555554|0|5.278645833333333|0
0|2020-01-25|0.02125|0|0.0|0|239.30555555555557|0|8.5|0
0|2020-01-26|0.0|0|0.0|0|199.89583333333334|0|5.729166666666667|0
0|2020-01-27|0.0|0|0.0|0|242.76041666666666|0|8.505208333333334|0
0|2020-01-28|0.0|0|0.0|0|108.28125|0|2.7083333333333335|0
0|2020-01-29|0.0|0|0.0|0|65.05208333333333|0|3.6666666666666665|0
0|2020-01-30|0.0|0|0.0|0|109.0625|0|3.8958333333333335|0
0|2020-01-31|0.0|0|0.024357638888888877|0|26.875|0|6.260416666666667|0
0|2020-02-01|0.02095486111111111|0|0.0|0|152.74305555555554|0|6.151041666666667|0
0|2020-02-02|0.0|0|0.0|0|248.28125|0|11.239583333333334|0
0|2020-02-03|0.0|0|0.0|0|230.3125|0|10.25|0
0|2020-02-04|0.0|0|0.0|0|222.39583333333334|0|11.557291666666666|0
0|2020-02-05|0.0|0|0.011753472222222226|0|183.4201388888889|0|9.711805555555555|0
0|2020-02-06|0.03864583333333334|0|0.0899305555555555|0|181.75347222222226|0|12.526041666666664|0
0|2020-02-07|0.1275|0|0.003576388888888889|0|248.0034722222222|0|15.421875|0
0|2020-02-08|0.0|0|0.003298611111111111|0|118.94097222222223|0|2.571180555555556|0
0|2020-02-09|0.0004166666666666667|0|0.0|0|114.44444444444446|0|2.774305555555556|0
0|2020-02-10|0.0|0|0.011006944444444444|0|59.65277777777777|0|1.7777777777777777|0
0|2020-02-11|0.020625|0|0.007187500000000002|0|210.7638888888889|0|12.243055555555557|0
0|2020-02-12|0.0|0|0.0|0|74.6875|0|3.0729166666666665|0
0|2020-02-13|0.0|0|0.02244791666666664|0|218.17708333333334|0|11.96875|0
0|2020-02-14|0.02291666666666667|0|0.0|0|133.80208333333334|0|4.041666666666667|0
0|2020-02-15|0.0|0|0.0|0|41.458333333333336|0|5.119791666666667|0
0|2020-02-16|0.0|0|0.003333333333333334|0|98.97569444444444|0|1.699652777777778|0
0|2020-02-17|0.0075|0|0.0|0|39.34027777777778|0|2.303819444444444|0
0|2020-02-18|0.0|0|0.02680555555555554|0|77.49999999999999|0|2.321180555555556|0
0|2020-02-19|0.011562500000000002|0|0.005711805555555557|0|97.8125|0|6.671875|0
0|2020-02-20|0.0025|0|0.021822916666666668|0|42.708333333333336|0|8.984375|0
0|2020-02-21|0.013958333333333335|0|0.0|0|41.02430555555556|0|6.609375|0
0|2020-02-22|0.0|0|0.0|0|62.760416666666664|0|2.40625|0
