|dates|Decatur_Indiana_UnitedStates.AveragePrecipitationTotal.data|Decatur_Indiana_UnitedStates.AveragePrecipitationTotal.missing|Decatur_Indiana_UnitedStates.AveragePrecipitation.data|Decatur_Indiana_UnitedStates.AveragePrecipitation.missing|Decatur_Indiana_UnitedStates.AverageWindDirection.data|Decatur_Indiana_UnitedStates.AverageWindDirection.missing|Decatur_Indiana_UnitedStates.AverageWindSpeed.data|Decatur_Indiana_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|208.33333333333334|0|10.875|0
0|2020-01-02|0.0|0|0.0|0|185.69444444444446|0|10.1875|0
0|2020-01-03|0.0|0|0.0|0|157.08333333333334|0|4.743055555555556|0
0|2020-01-04|0.0|0|0.0|0|297.5|0|11.527777777777777|0
0|2020-01-05|0.0|0|0.0|0|233.4722222222222|0|13.25|0
0|2020-01-06|0.0|0|0.0|0|118.33333333333333|0|4.972222222222222|0
0|2020-01-07|0.0|0|0.0|0|136.66666666666666|0|6.416666666666667|0
0|2020-01-08|0.0|0|0.0|0|175.0|0|7.611111111111112|0
0|2020-01-09|0.0|0|0.0|0|114.02777777777779|0|10.625|0
0|2020-01-10|0.0|0|0.0|0|174.16666666666666|0|14.652777777777779|0
0|2020-01-11|0.0|0|0.0|0|220.41666666666666|0|12.736111111111112|0
0|2020-01-12|0.0|0|0.0|0|171.25|0|5.777777777777778|0
0|2020-01-13|0.0|0|0.0|0|75.83333333333333|0|2.4583333333333335|0
0|2020-01-14|0.0|0|0.0|0|125.34722222222221|0|3.5|0
0|2020-01-15|0.0|0|0.0|0|112.29166666666667|0|3.4791666666666665|0
0|2020-01-16|0.0|0|0.0|0|309.02777777777777|0|10.652777777777777|0
0|2020-01-17|0.0|0|0.0|0|172.3611111111111|0|12.194444444444445|0
0|2020-01-18|0.0|0|0.0|0|209.58333333333334|0|17.36111111111111|0
0|2020-01-19|0.0|0|0.0|0|285.13888888888886|0|13.833333333333334|0
0|2020-01-20|0.0|0|0.0|0|152.08333333333334|0|5.291666666666667|0
0|2020-01-21|0.0|0|0.0|0|32.916666666666664|0|3.305555555555556|0
0|2020-01-22|0.0|0|0.0|0|116.1111111111111|0|5.25|0
0|2020-01-23|0.0|0|0.0|0|126.875|0|6.111111111111112|0
0|2020-01-24|0.0|0|0.0|0|130.69444444444446|0|4.666666666666667|0
0|2020-01-25|0.0|0|0.0|0|230.20833333333334|0|11.479166666666666|0
0|2020-01-26|0.0|0|0.0|0|217.2222222222222|0|8.5|0
0|2020-01-27|0.0|0|0.0|0|298.88888888888886|0|5.819444444444444|0
0|2020-01-28|0.0|0|0.0|0|130.69444444444446|0|1.4583333333333333|0
0|2020-01-29|0.0|0|0.0|0|38.19444444444444|0|5.722222222222222|0
0|2020-01-30|0.0|0|0.0|0|23.333333333333332|0|3.125|0
0|2020-01-31|0.0|0|0.0|0|17.083333333333332|0|1.2083333333333333|0
0|2020-02-01|0.0|0|0.0|0|171.94444444444443|0|7.3194444444444455|0
0|2020-02-02|0.0|0|0.0|0|244.86111111111111|0|13.125|0
0|2020-02-03|0.0|0|0.0|0|195.20833333333334|0|12.423611111111112|0
0|2020-02-04|0.0|0|0.0|0|180.2777777777778|0|14.819444444444445|0
0|2020-02-05|0.0|0|0.0|0|66.25|0|16.0|0
0|2020-02-06|0.0|0|0.0|0|212.3611111111111|0|10.951388888888888|0
0|2020-02-07|0.0|0|0.0|0|261.6666666666667|0|8.069444444444445|0
0|2020-02-08|0.0|0|0.0|0|233.05555555555554|0|7.694444444444444|0
0|2020-02-09|0.0|0|0.0|0|156.5972222222222|0|6.625|0
0|2020-02-10|0.0|0|0.0|0|205.2777777777778|0|8.125|0
0|2020-02-11|0.0|0|0.0|0|197.08333333333334|0|6.111111111111111|0
0|2020-02-12|0.0|0|0.0|0|107.08333333333333|0|4.5|0
0|2020-02-13|0.0|0|0.0|0|315.27777777777777|0|9.847222222222221|0
0|2020-02-14|0.0|0|0.0|0|192.91666666666666|0|6.666666666666667|0
0|2020-02-15|0.0|0|0.0|0|133.4722222222222|0|8.555555555555555|0
0|2020-02-16|0.0|0|0.0|0|88.47222222222221|0|3.4166666666666665|0
0|2020-02-17|0.0|0|0.0|0|84.93055555555556|0|5.479166666666667|0
0|2020-02-18|0.0|0|0.0|0|274.1666666666667|0|8.958333333333334|0
0|2020-02-19|0.0|0|0.0|0|277.3611111111111|0|6.611111111111111|0
0|2020-02-20|0.0|0|0.0|0|120.875|0|9.791666666666666|0
0|2020-02-21|0.0|0|0.0|0|103.05555555555554|0|4.625|0
0|2020-02-22|0.0|0|0.0|0|197.5|0|8.527777777777777|0
0|2020-02-23|0.0|0|0.0|0|192.7777777777778|0|7.875|0
0|2020-02-24|0.0|0|0.0|0|140.55555555555554|0|7.583333333333333|0
0|2020-02-25|0.0|0|0.0|0|169.375|0|8.01388888888889|0
0|2020-02-26|0.0|0|0.0|0|312.9166666666667|0|11.770833333333334|0
0|2020-02-27|0.0|0|0.0|0|270.6944444444444|0|13.597222222222221|0
0|2020-02-28|0.0|0|0.0|0|256.94444444444446|0|10.111111111111112|0
0|2020-02-29|0.0|0|0.0|0|223.8888888888889|0|7.9444444444444455|0
0|2020-03-01|0.0|0|0.0|0|131.25|0|10.833333333333334|0
0|2020-03-02|0.0|0|0.0|0|171.5277777777778|0|8.263888888888888|0
0|2020-03-03|0.0|0|0.0|0|203.05555555555557|0|10.333333333333334|0
0|2020-03-04|0.0|0|0.0|0|289.02777777777777|0|10.291666666666666|0
0|2020-03-05|0.0|0|0.0|0|241.04166666666666|0|10.729166666666666|0
0|2020-03-06|0.0|0|0.0|0|311.80555555555554|0|15.666666666666666|0
0|2020-03-07|0.0|0|0.0|0|154.86111111111111|0|5.8055555555555545|0
0|2020-03-08|0.0|0|0.0|0|171.25|0|11.027777777777777|0
0|2020-03-09|0.0|0|0.0|0|183.33333333333334|0|17.430555555555554|0
