|dates|Logan_Kansas_UnitedStates.BLS_EmployedPopulation.data|Logan_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Logan_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Logan_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Logan_Kansas_UnitedStates.BLS_UnemploymentRate.data|Logan_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Logan_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Logan_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-02|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-03|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-04|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-05|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-06|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-07|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-08|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-09|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-10|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-11|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-12|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-13|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-14|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-15|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-16|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-17|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-18|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-19|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-20|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-21|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-22|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-23|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-24|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-25|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-26|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
0|2020-01-27|1569.0|0|33.0|0|2.059925093632959|0|1602.0|0
