|dates|McNairy_Tennessee_UnitedStates.BLS_EmployedPopulation.data|McNairy_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|McNairy_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|McNairy_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|McNairy_Tennessee_UnitedStates.BLS_UnemploymentRate.data|McNairy_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|McNairy_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|McNairy_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-02|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-03|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-04|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-05|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-06|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-07|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-08|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-09|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-10|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-11|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-12|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-13|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-14|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-15|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-16|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-17|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-18|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-19|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-20|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-21|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-22|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-23|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-24|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-25|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-26|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-27|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-28|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-29|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-30|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-01-31|8033.0|0|539.5|0|6.293379994167395|0|8572.5|0
0|2020-02-01|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
0|2020-02-02|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
0|2020-02-03|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
0|2020-02-04|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
0|2020-02-05|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
0|2020-02-06|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
0|2020-02-07|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
0|2020-02-08|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
0|2020-02-09|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
0|2020-02-10|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
0|2020-02-11|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
0|2020-02-12|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
0|2020-02-13|8053.5|0|528.5|0|6.158238172920065|0|8582.0|0
