|dates|Roosevelt_NewMexico_UnitedStates.BLS_EmployedPopulation.data|Roosevelt_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|Roosevelt_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|Roosevelt_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|Roosevelt_NewMexico_UnitedStates.BLS_UnemploymentRate.data|Roosevelt_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|Roosevelt_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|Roosevelt_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-02|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-03|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-04|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-05|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-06|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-07|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-08|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-09|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-10|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-11|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-12|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-13|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-14|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-15|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-16|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-17|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-18|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-19|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-20|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-21|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-22|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
0|2020-01-23|7404.5|0|357.0|0|4.59962636088385|0|7761.5|0
