|dates|Custer_Oklahoma_UnitedStates.BLS_EmployedPopulation.data|Custer_Oklahoma_UnitedStates.BLS_EmployedPopulation.missing|Custer_Oklahoma_UnitedStates.BLS_UnemployedPopulation.data|Custer_Oklahoma_UnitedStates.BLS_UnemployedPopulation.missing|Custer_Oklahoma_UnitedStates.BLS_UnemploymentRate.data|Custer_Oklahoma_UnitedStates.BLS_UnemploymentRate.missing|Custer_Oklahoma_UnitedStates.BLS_LaborForcePopulation.data|Custer_Oklahoma_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-02|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-03|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-04|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-05|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-06|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-07|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-08|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-09|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-10|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-11|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-12|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-13|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-14|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-15|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-16|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-17|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-18|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-19|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-20|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-21|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-22|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-23|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-24|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-25|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-26|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
0|2020-01-27|15079.5|0|463.0|0|2.9789287437670904|0|15542.5|0
