|dates|McIntosh_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|McIntosh_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|McIntosh_NorthDakota_UnitedStates.Male_Total_Population.data|McIntosh_NorthDakota_UnitedStates.Male_Total_Population.missing|McIntosh_NorthDakota_UnitedStates.Female_Total_Population.data|McIntosh_NorthDakota_UnitedStates.Female_Total_Population.missing|McIntosh_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|McIntosh_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-02|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-03|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-04|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-05|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-06|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-07|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-08|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-09|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-10|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-11|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-12|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-13|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-14|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-15|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-16|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-17|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-18|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-19|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-20|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-21|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-22|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-23|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-24|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-25|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-26|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-27|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-28|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-29|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-30|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-01-31|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-01|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-02|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-03|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-04|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-05|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-06|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-07|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-08|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-09|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-10|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-11|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-12|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-13|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-14|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-15|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-16|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-17|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-18|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-19|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-20|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-21|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-22|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-23|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-24|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-25|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-26|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-27|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-28|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-02-29|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-03-01|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-03-02|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-03-03|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-03-04|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-03-05|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-03-06|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2020-03-07|793.0|0|1261.0|0|1324.0|0|483.0|0
