|dates|VanZandt_Texas_UnitedStates.BLS_EmployedPopulation.data|VanZandt_Texas_UnitedStates.BLS_EmployedPopulation.missing|VanZandt_Texas_UnitedStates.BLS_UnemployedPopulation.data|VanZandt_Texas_UnitedStates.BLS_UnemployedPopulation.missing|VanZandt_Texas_UnitedStates.BLS_UnemploymentRate.data|VanZandt_Texas_UnitedStates.BLS_UnemploymentRate.missing|VanZandt_Texas_UnitedStates.BLS_LaborForcePopulation.data|VanZandt_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-02|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-03|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-04|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-05|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-06|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-07|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-08|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-09|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-10|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-11|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-12|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-13|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-14|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-15|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-16|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-17|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-18|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-19|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-20|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-21|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-22|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-23|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-24|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-25|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-26|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-27|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
0|2020-01-28|25272.0|0|932.0|0|3.556708899404671|0|26204.0|0
