|dates|Larimer_Colorado_UnitedStates.BLS_EmployedPopulation.data|Larimer_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Larimer_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Larimer_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Larimer_Colorado_UnitedStates.BLS_UnemploymentRate.data|Larimer_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Larimer_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Larimer_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-02|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-03|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-04|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-05|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-06|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-07|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-08|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-09|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-10|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-11|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-12|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-13|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-14|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-15|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-16|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-17|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-18|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-19|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-20|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-21|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-22|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-23|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-24|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-25|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-26|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-27|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-28|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-29|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-30|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-01-31|200701.0|0|5300.0|0|2.5728030446454144|0|206001.0|0
0|2020-02-01|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-02|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-03|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-04|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-05|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-06|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-07|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-08|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-09|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-10|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-11|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-12|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-13|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-14|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-15|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-16|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-17|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-18|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-19|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-20|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-21|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
0|2020-02-22|202601.0|0|5462.0|0|2.6251664159413255|0|208063.0|0
