|dates|Pittsylvania_Virginia_UnitedStates.BLS_EmployedPopulation.data|Pittsylvania_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Pittsylvania_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Pittsylvania_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Pittsylvania_Virginia_UnitedStates.BLS_UnemploymentRate.data|Pittsylvania_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Pittsylvania_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Pittsylvania_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-02|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-03|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-04|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-05|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-06|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-07|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-08|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-09|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-10|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-11|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-12|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-13|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-14|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-15|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-16|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-17|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-18|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-19|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-20|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-21|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-22|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-23|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-24|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-25|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-26|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-27|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-28|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-29|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-30|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-01-31|29132.5|0|1131.0|0|3.737175144976622|0|30263.5|0
0|2020-02-01|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-02|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-03|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-04|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-05|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-06|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-07|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-08|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-09|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-10|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-11|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-12|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-13|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-14|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-15|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-16|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-17|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
0|2020-02-18|29231.0|0|1096.5|0|3.615530459154233|0|30327.5|0
