|dates|Menard_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Menard_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Menard_Texas_UnitedStates.Male_Total_Population.data|Menard_Texas_UnitedStates.Male_Total_Population.missing|Menard_Texas_UnitedStates.Female_Total_Population.data|Menard_Texas_UnitedStates.Female_Total_Population.missing|Menard_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Menard_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-02|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-03|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-04|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-05|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-06|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-07|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-08|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-09|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-10|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-11|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-12|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-13|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-14|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-15|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-16|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-17|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-18|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-19|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-20|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-21|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-22|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-23|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-24|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-25|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-26|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-27|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-28|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-29|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-30|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-01-31|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-02-01|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-02-02|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-02-03|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-02-04|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2020-02-05|679.0|0|1062.0|0|1077.0|0|378.0|0
