|dates|BoxElder_Utah_UnitedStates.AveragePrecipitationTotal.data|BoxElder_Utah_UnitedStates.AveragePrecipitationTotal.missing|BoxElder_Utah_UnitedStates.AveragePrecipitation.data|BoxElder_Utah_UnitedStates.AveragePrecipitation.missing|BoxElder_Utah_UnitedStates.AverageWindDirection.data|BoxElder_Utah_UnitedStates.AverageWindDirection.missing|BoxElder_Utah_UnitedStates.AverageWindSpeed.data|BoxElder_Utah_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0008333333333333334|0|0.006229166666666667|0|244.79166666666666|0|16.595138888888886|0
0|2020-01-02|0.004583333333333333|0|0.0|0|250.20833333333334|0|18.166666666666668|0
0|2020-01-03|0.0|0|0.0|0|169.58333333333334|0|7.25|0
0|2020-01-04|0.0|0|0.0|0|216.66666666666666|0|13.666666666666666|0
0|2020-01-05|0.0|0|0.000625|0|190.91964285714286|0|6.152380952380952|0
0|2020-01-06|0.00125|0|0.0|0|216.66666666666666|0|10.333333333333334|0
0|2020-01-07|0.0|0|0.0|0|197.5|0|13.8125|0
0|2020-01-08|0.0|0|0.000625|0|235.72916666666666|0|12.825000000000001|0
0|2020-01-09|0.0004166666666666667|0|0.0012896825396825397|0|246.49007936507937|0|13.27876984126984|0
0|2020-01-10|0.0016666666666666668|0|0.0|0|192.77777777777774|0|10.333333333333334|0
0|2020-01-11|0.00020833333333333335|0|0.0029444444444444444|0|208.88888888888889|0|11.193055555555555|0
0|2020-01-12|0.00375|0|0.0|0|214.47916666666666|0|13.416666666666666|0
0|2020-01-13|0.0|0|0.0011111111111111111|0|186.74305555555557|0|10.705902777777778|0
0|2020-01-14|0.0020833333333333333|0|0.00026041666666666666|0|216.56944444444446|0|12.89722222222222|0
0|2020-01-15|0.0004166666666666667|0|0.0|0|107.91666666666667|0|6.291666666666667|0
0|2020-01-16|0.0|0|0.0|0|123.75|0|9.0|0
0|2020-01-17|0.0007291666666666667|0|0.001388888888888889|0|242.95138888888889|0|12.288194444444445|0
0|2020-01-18|0.0|0|0.0|0|69.16666666666667|0|4.75|0
0|2020-01-19|0.0|0|0.0|0|57.083333333333336|0|10.541666666666666|0
0|2020-01-20|0.0|0|0.0|0|72.5|0|11.166666666666666|0
