|dates|Windham_Connecticut_UnitedStates.BLS_EmployedPopulation.data|Windham_Connecticut_UnitedStates.BLS_EmployedPopulation.missing|Windham_Connecticut_UnitedStates.BLS_UnemployedPopulation.data|Windham_Connecticut_UnitedStates.BLS_UnemployedPopulation.missing|Windham_Connecticut_UnitedStates.BLS_UnemploymentRate.data|Windham_Connecticut_UnitedStates.BLS_UnemploymentRate.missing|Windham_Connecticut_UnitedStates.BLS_LaborForcePopulation.data|Windham_Connecticut_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-02|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-03|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-04|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-05|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-06|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-07|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-08|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-09|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-10|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-11|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-12|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-13|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-14|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-15|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-16|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-17|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-18|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-19|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-20|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-21|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-22|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-23|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-24|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-25|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
0|2020-01-26|61315.0|0|3039.0|0|4.722317183081083|0|64354.0|0
