|dates|Greene_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Greene_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Greene_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Greene_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Greene_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Greene_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Greene_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Greene_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-02|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-03|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-04|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-05|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-06|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-07|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-08|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-09|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-10|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-11|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-12|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-13|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-14|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-15|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-16|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-17|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-18|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-19|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-20|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-21|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-22|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
0|2020-01-23|15628.0|0|1090.0|0|6.519918650556287|0|16718.0|0
