|dates|Cook_Georgia_UnitedStates.BLS_EmployedPopulation.data|Cook_Georgia_UnitedStates.BLS_EmployedPopulation.missing|Cook_Georgia_UnitedStates.BLS_UnemployedPopulation.data|Cook_Georgia_UnitedStates.BLS_UnemployedPopulation.missing|Cook_Georgia_UnitedStates.BLS_UnemploymentRate.data|Cook_Georgia_UnitedStates.BLS_UnemploymentRate.missing|Cook_Georgia_UnitedStates.BLS_LaborForcePopulation.data|Cook_Georgia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-02|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-03|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-04|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-05|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-06|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-07|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-08|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-09|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-10|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-11|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-12|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-13|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-14|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-15|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-16|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-17|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-18|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-19|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-20|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-21|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-22|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-23|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-24|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-25|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-26|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-27|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-28|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-29|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-30|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-01-31|7958.5|0|284.0|0|3.4455565665756747|0|8242.5|0
0|2020-02-01|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-02|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-03|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-04|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-05|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-06|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-07|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-08|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-09|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-10|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-11|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-12|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-13|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-14|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
0|2020-02-15|7990.5|0|285.0|0|3.443900670654341|0|8275.5|0
