|dates|Inyo_California_UnitedStates.BLS_EmployedPopulation.data|Inyo_California_UnitedStates.BLS_EmployedPopulation.missing|Inyo_California_UnitedStates.BLS_UnemployedPopulation.data|Inyo_California_UnitedStates.BLS_UnemployedPopulation.missing|Inyo_California_UnitedStates.BLS_UnemploymentRate.data|Inyo_California_UnitedStates.BLS_UnemploymentRate.missing|Inyo_California_UnitedStates.BLS_LaborForcePopulation.data|Inyo_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-02|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-03|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-04|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-05|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-06|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-07|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-08|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-09|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-10|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-11|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-12|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-13|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-14|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-15|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-16|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-17|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-18|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-19|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-20|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-21|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-22|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-23|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-24|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-25|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-26|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-27|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-28|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-29|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-30|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-01-31|8317.5|0|342.0|0|3.94941971245453|0|8659.5|0
0|2020-02-01|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-02|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-03|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-04|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-05|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-06|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-07|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-08|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-09|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-10|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-11|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-12|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-13|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-14|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-15|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-16|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-17|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-18|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-19|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-20|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-21|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-22|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-23|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-24|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-25|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-26|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-27|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-28|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-02-29|8303.0|0|339.5|0|3.928261498409025|0|8642.5|0
0|2020-03-01|8205.5|0|401.5|0|4.664807714650865|0|8607.0|0
0|2020-03-02|8205.5|0|401.5|0|4.664807714650865|0|8607.0|0
0|2020-03-03|8205.5|0|401.5|0|4.664807714650865|0|8607.0|0
0|2020-03-04|8205.5|0|401.5|0|4.664807714650865|0|8607.0|0
