|dates|Lebanon_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Lebanon_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Lebanon_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Lebanon_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Lebanon_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Lebanon_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Lebanon_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Lebanon_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-02|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-03|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-04|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-05|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-06|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-07|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-08|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-09|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-10|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-11|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-12|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-13|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-14|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-15|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-16|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-17|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-18|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
0|2020-01-19|68840.0|0|3231.0|0|4.483079185802889|0|72071.0|0
