|dates|Mason_Illinois_UnitedStates.BLS_EmployedPopulation.data|Mason_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Mason_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Mason_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Mason_Illinois_UnitedStates.BLS_UnemploymentRate.data|Mason_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Mason_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Mason_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-02|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-03|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-04|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-05|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-06|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-07|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-08|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-09|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-10|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-11|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-12|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-13|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-14|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-15|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-16|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-17|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-18|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-19|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-20|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-21|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-22|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-23|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-24|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-25|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-26|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-27|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-28|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-29|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-30|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-01-31|5731.5|0|345.0|0|5.677610466551469|0|6076.5|0
0|2020-02-01|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-02|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-03|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-04|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-05|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-06|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-07|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-08|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-09|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-10|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-11|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-12|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-13|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-14|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-15|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-16|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-17|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-18|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-19|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-20|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
0|2020-02-21|5688.0|0|289.0|0|4.835201606156935|0|5977.0|0
