|dates|Castro_Texas_UnitedStates.BLS_EmployedPopulation.data|Castro_Texas_UnitedStates.BLS_EmployedPopulation.missing|Castro_Texas_UnitedStates.BLS_UnemployedPopulation.data|Castro_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Castro_Texas_UnitedStates.BLS_UnemploymentRate.data|Castro_Texas_UnitedStates.BLS_UnemploymentRate.missing|Castro_Texas_UnitedStates.BLS_LaborForcePopulation.data|Castro_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-02|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-03|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-04|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-05|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-06|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-07|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-08|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-09|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-10|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-11|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-12|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-13|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-14|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-15|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-16|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-17|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-18|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-19|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-20|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-21|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-22|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-23|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-24|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
0|2020-01-25|3244.0|0|92.0|0|2.7577937649880098|0|3336.0|0
