|dates|Pierce_Washington_UnitedStates.BLS_EmployedPopulation.data|Pierce_Washington_UnitedStates.BLS_EmployedPopulation.missing|Pierce_Washington_UnitedStates.BLS_UnemployedPopulation.data|Pierce_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Pierce_Washington_UnitedStates.BLS_UnemploymentRate.data|Pierce_Washington_UnitedStates.BLS_UnemploymentRate.missing|Pierce_Washington_UnitedStates.BLS_LaborForcePopulation.data|Pierce_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-02|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-03|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-04|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-05|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-06|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-07|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-08|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-09|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-10|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-11|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-12|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-13|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-14|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-15|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-16|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-17|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-18|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
0|2020-01-19|431119.5|0|23890.5|0|5.250543944089141|0|455010.0|0
