|dates|Russell_Kansas_UnitedStates.BLS_EmployedPopulation.data|Russell_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Russell_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Russell_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Russell_Kansas_UnitedStates.BLS_UnemploymentRate.data|Russell_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Russell_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Russell_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-02|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-03|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-04|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-05|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-06|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-07|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-08|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-09|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-10|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-11|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-12|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-13|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-14|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-15|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-16|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-17|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-18|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-19|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-20|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-21|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-22|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-23|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-24|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-25|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-26|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-27|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-28|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-29|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-30|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-01-31|3153.0|0|96.5|0|2.969687644252962|0|3249.5|0
0|2020-02-01|3178.0|0|98.0|0|2.9914529914529915|0|3276.0|0
0|2020-02-02|3178.0|0|98.0|0|2.9914529914529915|0|3276.0|0
0|2020-02-03|3178.0|0|98.0|0|2.9914529914529915|0|3276.0|0
0|2020-02-04|3178.0|0|98.0|0|2.9914529914529915|0|3276.0|0
0|2020-02-05|3178.0|0|98.0|0|2.9914529914529915|0|3276.0|0
0|2020-02-06|3178.0|0|98.0|0|2.9914529914529915|0|3276.0|0
0|2020-02-07|3178.0|0|98.0|0|2.9914529914529915|0|3276.0|0
0|2020-02-08|3178.0|0|98.0|0|2.9914529914529915|0|3276.0|0
0|2020-02-09|3178.0|0|98.0|0|2.9914529914529915|0|3276.0|0
0|2020-02-10|3178.0|0|98.0|0|2.9914529914529915|0|3276.0|0
0|2020-02-11|3178.0|0|98.0|0|2.9914529914529915|0|3276.0|0
