|dates|Cheshire_NewHampshire_UnitedStates.BLS_EmployedPopulation.data|Cheshire_NewHampshire_UnitedStates.BLS_EmployedPopulation.missing|Cheshire_NewHampshire_UnitedStates.BLS_UnemployedPopulation.data|Cheshire_NewHampshire_UnitedStates.BLS_UnemployedPopulation.missing|Cheshire_NewHampshire_UnitedStates.BLS_UnemploymentRate.data|Cheshire_NewHampshire_UnitedStates.BLS_UnemploymentRate.missing|Cheshire_NewHampshire_UnitedStates.BLS_LaborForcePopulation.data|Cheshire_NewHampshire_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-02|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-03|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-04|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-05|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-06|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-07|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-08|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-09|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-10|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-11|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-12|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-13|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-14|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-15|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-16|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-17|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-18|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-19|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-20|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-21|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-22|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-23|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-24|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-25|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-26|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-27|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-28|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-29|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-30|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-01-31|39440.0|0|1289.0|0|3.164821134817943|0|40729.0|0
0|2020-02-01|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-02|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-03|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-04|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-05|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-06|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-07|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-08|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-09|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-10|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-11|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-12|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-13|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-14|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
0|2020-02-15|39935.0|0|1271.0|0|3.084502256952871|0|41206.0|0
