|dates|Perkins_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Perkins_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Perkins_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Perkins_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Perkins_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Perkins_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Perkins_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Perkins_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-02|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-03|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-04|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-05|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-06|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-07|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-08|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-09|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-10|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-11|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-12|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-13|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-14|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-15|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-16|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-17|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-18|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-19|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-20|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-21|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-22|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-23|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-24|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-25|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-26|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-27|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-28|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-29|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-30|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-01-31|1325.5|0|38.0|0|2.786945361202787|0|1363.5|0
0|2020-02-01|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-02|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-03|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-04|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-05|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-06|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-07|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-08|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-09|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-10|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-11|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-12|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-13|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-14|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-15|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-16|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
0|2020-02-17|1322.0|0|43.5|0|3.1856462834126695|0|1365.5|0
