|dates|VanBuren_Michigan_UnitedStates.AveragePrecipitationTotal.data|VanBuren_Michigan_UnitedStates.AveragePrecipitationTotal.missing|VanBuren_Michigan_UnitedStates.AveragePrecipitation.data|VanBuren_Michigan_UnitedStates.AveragePrecipitation.missing|VanBuren_Michigan_UnitedStates.AverageWindDirection.data|VanBuren_Michigan_UnitedStates.AverageWindDirection.missing|VanBuren_Michigan_UnitedStates.AverageWindSpeed.data|VanBuren_Michigan_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|215.41666666666666|0|10.182291666666666|0
0|2020-01-02|0.0|0|0.0|0|213.38541666666666|0|11.432291666666666|0
0|2020-01-03|0.0|0|0.0|0|162.39583333333334|0|3.015625|0
0|2020-01-04|0.0|0|0.0|0|165.83333333333334|0|5.557291666666667|0
0|2020-01-05|0.0|0|0.0|0|234.32291666666666|0|10.5625|0
0|2020-01-06|0.0|0|0.0|0|261.9270833333333|0|10.536458333333334|0
0|2020-01-07|0.0|0|0.0|0|218.64583333333334|0|8.677083333333334|0
0|2020-01-08|0.0|0|0.0|0|234.6875|0|9.848958333333334|0
0|2020-01-09|0.0|0|0.0|0|161.25|0|13.864583333333334|0
0|2020-01-10|0.0|0|0.0|0|125.36458333333333|0|5.385416666666667|0
0|2020-01-11|0.0|0|0.0|0|62.395833333333336|0|9.916666666666666|0
0|2020-01-12|0.0|0|0.0|0|85.9375|0|3.3072916666666665|0
0|2020-01-13|0.0|0|0.0|0|151.97916666666666|0|4.947916666666667|0
0|2020-01-14|0.0|0|0.0|0|194.16666666666666|0|7.328125|0
0|2020-01-15|0.0|0|0.0|0|111.04166666666667|0|3.578125|0
0|2020-01-16|0.0|0|0.0|0|261.40625|0|10.923611111111109|0
0|2020-01-17|0.0|0|0.0|0|102.1875|0|7.838541666666667|0
0|2020-01-18|0.0|0|0.0|0|203.54166666666666|0|15.770833333333334|0
0|2020-01-19|0.0|0|0.0|0|219.73958333333334|0|10.427083333333334|0
0|2020-01-20|0.0|0|0.0|0|19.895833333333332|0|0.7447916666666666|0
0|2020-01-21|0.0|0|0.0|0|142.13541666666666|0|3.7760416666666665|0
0|2020-01-22|0.0|0|0.0|0|182.86458333333334|0|7.697916666666667|0
0|2020-01-23|0.0|0|0.0|0|137.70833333333334|0|5.083333333333333|0
0|2020-01-24|0.0|0|0.0|0|81.61458333333333|0|4.84375|0
0|2020-01-25|0.0|0|0.0|0|222.5|0|6.125|0
0|2020-01-26|0.0|0|0.0|0|268.3333333333333|0|7.921875|0
0|2020-01-27|0.0|0|0.0|0|237.96875|0|5.255208333333333|0
0|2020-01-28|0.0|0|0.0|0|190.26041666666666|0|2.9114583333333335|0
0|2020-01-29|0.0|0|0.0|0|21.25|0|0.7135416666666666|0
0|2020-01-30|0.0|0|0.0|0|41.197916666666664|0|0.859375|0
0|2020-01-31|0.0|0|0.0|0|26.875|0|0.6927083333333334|0
