|dates|Freestone_Texas_UnitedStates.BLS_EmployedPopulation.data|Freestone_Texas_UnitedStates.BLS_EmployedPopulation.missing|Freestone_Texas_UnitedStates.BLS_UnemployedPopulation.data|Freestone_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Freestone_Texas_UnitedStates.BLS_UnemploymentRate.data|Freestone_Texas_UnitedStates.BLS_UnemploymentRate.missing|Freestone_Texas_UnitedStates.BLS_LaborForcePopulation.data|Freestone_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-02|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-03|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-04|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-05|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-06|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-07|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-08|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-09|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-10|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-11|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-12|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-13|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-14|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-15|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-16|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-17|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-18|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-19|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-20|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-21|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-22|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-23|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-24|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-25|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-26|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-27|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-28|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-29|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-30|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-01-31|6054.0|0|352.0|0|5.494848579456759|0|6406.0|0
0|2020-02-01|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-02|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-03|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-04|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-05|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-06|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-07|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-08|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-09|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-10|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-11|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-12|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-13|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-14|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-15|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-16|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-17|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-18|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-19|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-20|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-21|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-22|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-23|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-24|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-25|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-26|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
0|2020-02-27|6117.0|0|325.5|0|5.052386495925495|0|6442.5|0
